date,share_code,issuer_name,investor_name,investor_classification,local_foreign,nationality,domicile,holdings_scripless,holdings_scrip,total_holding_shares,percentage
30-Jun-2026,ABBA,MAHAKA MEDIA Tbk,TJEN FOENG FA,Individual,L,INDONESIAN,INDONESIA,41856300,0,41856300,1.06
30-Jun-2026,ABBA,MAHAKA MEDIA Tbk,DRS. WINARTO,Individual,L,INDONESIAN,,178745400,0,178745400,4.54
30-Jun-2026,ABDA,ASURANSI BINA DANA ARTA Tbk,SKYLIGHT INVESTMENT LTD,Private Equity,F,,CAYMAN ISLANDS,21728234,0,21728234,3.5
30-Jun-2026,ABDA,ASURANSI BINA DANA ARTA Tbk,DBS BANK LTD.,Bank,F,,SINGAPORE,28000000,0,28000000,4.51
30-Jun-2026,ABDA,ASURANSI BINA DANA ARTA Tbk,OONA INDONESIA PTE LTD,Insurance,F,,SINGAPORE,538542104,0,538542104,86.75
30-Jun-2026,ABDA,ASURANSI BINA DANA ARTA Tbk,MAYBANK SECURITIES PTE. LTD.,Investment Manager,F,,SINGAPORE,30499400,0,30499400,4.91
30-Jun-2026,ABMM,ABM INVESTAMA Tbk,PT TIARA MARGA TRAKINDO,Corporate,L,,INDONESIA,1474573133,0,1474573133,53.56
30-Jun-2026,ABMM,ABM INVESTAMA Tbk,NOBLE INVESTMENT CORPORATION (SPC) LTD.,Corporate,F,,CAYMAN ISLANDS,96446100,0,96446100,3.5
30-Jun-2026,ABMM,ABM INVESTAMA Tbk,VALLE VERDE PTE LTD,Firm,F,,SINGAPORE,702349867,0,702349867,25.51
30-Jun-2026,ABMM,ABM INVESTAMA Tbk,DRS LO KHENG HONG,Individual,L,INDONESIAN,INDONESIA,155718900,0,155718900,5.66
30-Jun-2026,ACES,ASPIRASI HIDUP INDONESIA Tbk,PT KAWAN LAMA SEJAHTERA,Corporate,L,,INDONESIA,10272189700,0,10272189700,60.0
30-Jun-2026,ACES,ASPIRASI HIDUP INDONESIA Tbk,MERCER QIF FUND PLC,Mutual Funds,F,,IRELAND,188704500,0,188704500,1.1
30-Jun-2026,ACES,ASPIRASI HIDUP INDONESIA Tbk,ALBIZIA ASEAN OPPORTUNITIES FUND,Mutual Funds,F,,CAYMAN ISLANDS,488996500,0,488996500,2.86
30-Jun-2026,ACES,ASPIRASI HIDUP INDONESIA Tbk,NT TST CO S/A EDGBASTON ASIAN EQUITY (JERSEY) TRUST,Investment Advisors,F,,JERSEY,214006200,0,214006200,1.25
30-Jun-2026,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,JOO HEE KO,Individual,F,SOUTH KOREAN,INDONESIA,155459000,0,155459000,4.48
30-Jun-2026,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,SUMAN KIM,Individual,F,SOUTH KOREAN,INDONESIA,131628700,0,131628700,3.79
30-Jun-2026,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,KYUNGHEE KO,Individual,F,SOUTH KOREAN,INDONESIA,107563300,0,107563300,3.1
30-Jun-2026,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,TAE SUNG CHUNG,Individual,F,SOUTH KOREAN,INDONESIA,2720072495,0,2720072495,78.4
30-Jun-2026,ACST,ACSET INDONUSA Tbk,PT. KARYA SUPRA PERKASA,Corporate,L,,INDONESIA,16115027968,0,16115027968,91.17
30-Jun-2026,ADCP,ADHI COMMUTER PROPERTI Tbk,ADHI KARYA PERSERO TBK PT.,Corporate,L,,INDONESIA,0,19999900000,19999900000,90.0
30-Jun-2026,ADES,AKASHA WIRA INTERNATIONAL Tbk,WATER PARTNERS BOTTLING SA,Corporate,F,,SWITZERLAND,538896713,0,538896713,91.35
30-Jun-2026,ADES,AKASHA WIRA INTERNATIONAL Tbk,SURONO SUBEKTI,Individual,L,INDONESIAN,INDONESIA,6106500,0,6106500,1.04
30-Jun-2026,ADHI,ADHI KARYA (PERSERO) Tbk,PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,Corporate,L,,,0,5354686054,5354686054,63.69
30-Jun-2026,ADHI,ADHI KARYA (PERSERO) Tbk,PT WARUNA NUSASENTANA,Firm,L,,INDONESIA,96194100,0,96194100,1.14
30-Jun-2026,ADHI,ADHI KARYA (PERSERO) Tbk,PT. MITRACOMM EKASARANA,Corporate,L,,INDONESIA,159880400,0,159880400,1.9
30-Jun-2026,ADHI,ADHI KARYA (PERSERO) Tbk,SALIM LIM,Individual,L,INDONESIAN,INDONESIA,141567623,0,141567623,1.68
30-Jun-2026,ADHI,ADHI KARYA (PERSERO) Tbk,"PANIN SEKURITAS Tbk, PT",Securities Company,L,,INDONESIA,238684268,0,238684268,2.84
30-Jun-2026,ADMF,ADIRA DINAMIKA MULTI FINANCE Tbk,"BANK DANAMON INDONESIA Tbk, PT - REGISTRAR",Bank,L,,INDONESIA,920700000,0,920700000,74.5
30-Jun-2026,ADMF,ADIRA DINAMIKA MULTI FINANCE Tbk,MUFG Bank Ltd,Private Bank,F,,JAPAN,233757759,0,233757759,18.92
30-Jun-2026,ADMG,POLYCHEM INDONESIA Tbk,"GAJAH TUNGGAL, TbK. PT.",Corporate,L,,INDONESIA,994150000,0,994150000,25.56
30-Jun-2026,ADMG,POLYCHEM INDONESIA Tbk,PT SATYA MULIA GEMA GEMILANG,Corporate,L,,INDONESIA,405356593,0,405356593,10.42
30-Jun-2026,ADMG,POLYCHEM INDONESIA Tbk,NEW WORLD GLOBAL LIMITED,Corporate,F,,,0,39997466,39997466,1.03
30-Jun-2026,ADMG,POLYCHEM INDONESIA Tbk,SOETIKNO HARTO SOEWITO,Individual,L,INDONESIAN,,111309200,0,111309200,2.86
30-Jun-2026,ADMG,POLYCHEM INDONESIA Tbk,DRS LO KHENG HONG,Individual,L,INDONESIAN,INDONESIA,50318100,0,50318100,1.29
30-Jun-2026,ADMG,POLYCHEM INDONESIA Tbk,PROVESTMENT LIMITED,Partnership,F,,"VIRGIN ISLANDS, BRITISH",1925414417,0,1925414417,49.51
30-Jun-2026,ADMR,ALAMTRI MINERALS INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,Corporate,L,,INDONESIA,34933166100,0,34933166100,85.45
30-Jun-2026,ADMR,ALAMTRI MINERALS INDONESIA Tbk,SILVERCITY ENTERPRISE LIMITED,Corporate,F,,HONG KONG,436463680,0,436463680,1.07
30-Jun-2026,ADMR,ALAMTRI MINERALS INDONESIA Tbk,VERANUS CAPITAL PTE. LTD.,Investment Advisors,F,,SINGAPORE,532762560,0,532762560,1.3
30-Jun-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,Corporate,L,,INDONESIA,1174890670,0,1174890670,4.0
30-Jun-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,ADARO STRATEGIC INVESTMENTS,Corporate,L,,INDONESIA,14045425500,0,14045425500,47.79
30-Jun-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,Corporate,L,,INDONESIA,589195200,0,589195200,2.0
30-Jun-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,KOREA SOUTH-EAST POWER CO.LTD,Corporate,F,,"KOREA, REPUBLIC OF",480000000,0,480000000,1.63
30-Jun-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,GARIBALDI THOHIR,Individual,L,INDONESIAN,INDONESIA,1976632710,0,1976632710,6.73
30-Jun-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,IR. T. PERMADI RACHMAT,Individual,L,INDONESIAN,INDONESIA,1161671401,0,1161671401,3.95
30-Jun-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,EDWIN SOERYADJAYA,Individual,L,INDONESIAN,INDONESIA,1051738544,0,1051738544,3.58
30-Jun-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,SANDIAGA SALAHUDDIN UNO,Individual,L,INDONESIAN,INDONESIA,611849202,0,611849202,2.08
30-Jun-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,LAZARD EMERGING MARKETS EQUITY PORTFOLIO,Mutual Funds,F,,UNITED STATES,298427500,0,298427500,1.02
30-Jun-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,CV. JAMBI TRADE CENTER,Commanditaire Vennootschap (CV) Or Limited Partnership,L,,INDONESIA,10433000,0,10433000,1.04
30-Jun-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,ANDY TANUJAYA,Individual,L,INDONESIAN,INDONESIA,12545400,0,12545400,1.25
30-Jun-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,OEY JOHAN SINATRA SUMAWI,Individual,L,INDONESIAN,INDONESIA,25350010,0,25350010,2.52
30-Jun-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,KUSWIRA,Individual,L,INDONESIAN,INDONESIA,10232600,0,10232600,1.02
30-Jun-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,J SUWANTA SINARYA DR,Individual,L,INDONESIAN,INDONESIA,555649980,0,555649980,55.23
30-Jun-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,ANI ROLIYANI,Individual,L,INDONESIAN,INDONESIA,15130000,0,15130000,1.5
30-Jun-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,HASANUDIN,Individual,L,INDONESIAN,INDONESIA,15926800,0,15926800,1.58
30-Jun-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,JEIHAN SUMAWI PUTRA,Individual,L,INDONESIAN,INDONESIA,25000010,0,25000010,2.48
30-Jun-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,UOB KAY HIAN PTE LTD,Securities Company,F,,SINGAPORE,44095700,0,44095700,4.38
30-Jun-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,PHILLIP SECURITIES PTE LTD,Investment Manager,F,,SINGAPORE,14704300,0,14704300,1.46
30-Jun-2026,AGAR,ASIA SEJAHTERA MINA Tbk,PT. BENGAWAN TIMUR LAJU,Corporate,L,,INDONESIA,43000000,0,43000000,4.3
30-Jun-2026,AGAR,ASIA SEJAHTERA MINA Tbk,PT. SINAR TERANG ASIA RAYA,Corporate,L,,INDONESIA,299927300,0,299927300,29.99
30-Jun-2026,AGAR,ASIA SEJAHTERA MINA Tbk,PT. INDO KREASI PRATAMA,Corporate,L,,INDONESIA,450000000,0,450000000,45.0
30-Jun-2026,AGAR,ASIA SEJAHTERA MINA Tbk,HENRY TIRTASAPUTRA JUNIOR,Individual,L,INDONESIAN,INDONESIA,40000000,0,40000000,4.0
30-Jun-2026,AGAR,ASIA SEJAHTERA MINA Tbk,L. HAUW LIONG (LIANTO G),Individual,L,INDONESIAN,INDONESIA,40392900,0,40392900,4.04
30-Jun-2026,AGAR,ASIA SEJAHTERA MINA Tbk,ROBIN GOENADI,Individual,L,INDONESIAN,INDONESIA,39777500,0,39777500,3.98
30-Jun-2026,AGAR,ASIA SEJAHTERA MINA Tbk,INTAN POLANARIA SANTOSA,Individual,L,INDONESIAN,INDONESIA,33218600,0,33218600,3.32
30-Jun-2026,AGAR,ASIA SEJAHTERA MINA Tbk,WILDA TETY ARYDESIA,Individual,L,INDONESIAN,INDONESIA,41000000,0,41000000,4.1
30-Jun-2026,AGII,SAMATOR INDO GAS Tbk,PT. ANEKA MEGA ENERGI,Corporate,L,,INDONESIA,0,459999000,459999000,15.0
30-Jun-2026,AGII,SAMATOR INDO GAS Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,Corporate,L,,INDONESIA,306666000,0,306666000,10.0
30-Jun-2026,AGII,SAMATOR INDO GAS Tbk,PT SAMATOR,Corporate,L,,INDONESIA,709549020,371144000,1080693020,35.24
30-Jun-2026,AGII,SAMATOR INDO GAS Tbk,MATRIX COMPANY LIMITED,Private Equity,F,,JERSEY,986967780,0,986967780,32.18
30-Jun-2026,AGII,SAMATOR INDO GAS Tbk,ZICO TRUST (S) LTD.,Trustee Bank,F,,SINGAPORE,91633900,0,91633900,2.99
30-Jun-2026,AGRO,BANK RAYA INDONESIA Tbk,BANK RAKYAT INDONESIA PT,Bank,L,,INDONESIA,21239760958,247401079,21487162037,86.85
30-Jun-2026,AGRO,BANK RAYA INDONESIA Tbk,DANA PENSUN PERKEBUNAN,Pension Funds,L,,INDONESIA,600703375,0,600703375,2.43
30-Jun-2026,AGRS,BANK IBK INDONESIA Tbk,PT INDUSTRIAL BANK OF KOREA,Private Bank,F,,"KOREA, REPUBLIC OF",4701453340,39090909045,43792362385,91.49
30-Jun-2026,AGRS,BANK IBK INDONESIA Tbk,PT KOREA INVESTMENT AND SEKURITAS INDONESIA - REGISTRAR,Securities Company,L,,INDONESIA,1414728100,0,1414728100,2.96
30-Jun-2026,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,PT ASIAN INTERNATIONAL INVESTINDO,Corporate,L,,INDONESIA,52829854,0,52829854,1.08
30-Jun-2026,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,SENDRA GUNAWAN,Individual,L,INDONESIAN,INDONESIA,594981066,0,594981066,12.14
30-Jun-2026,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,TAN KAH HO,Individual,F,SINGAPOREAN,SINGAPORE,115237763,0,115237763,2.35
30-Jun-2026,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,PT ASURANSI CENTRAL ASIA,Insurance,L,,INDONESIA,3066343009,0,3066343009,62.58
30-Jun-2026,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,BANGKOK INSURANCE PUBLIC COMPANY LIMITED,Insurance,F,,THAILAND,64086000,0,64086000,1.31
30-Jun-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,PT DELTA WIBAWA BERSAMA,Corporate,L,,INDONESIA,68493151,0,68493151,31.13
30-Jun-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,PT AIMS INDO INVESTAMA,Investment Advisors,L,,INDONESIA,74827991,0,74827991,34.01
30-Jun-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,HADI WIJAYA,Individual,L,INDONESIAN,INDONESIA,2538900,0,2538900,1.15
30-Jun-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,JONI,Individual,L,INDONESIAN,INDONESIA,3037700,0,3037700,1.38
30-Jun-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,IR EFENDI LEMAN,Individual,L,INDONESIAN,INDONESIA,11155000,0,11155000,5.07
30-Jun-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,CHRIST JONATAN DAELY,Individual,L,INDONESIAN,INDONESIA,3041848,0,3041848,1.38
30-Jun-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,ANTHONY SETIADI,Individual,L,INDONESIAN,INDONESIA,2736300,0,2736300,1.24
30-Jun-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,ABEL IGNATIUS AUREY,Individual,L,INDONESIAN,INDONESIA,4848800,0,4848800,2.2
30-Jun-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,LIANG ZHANG,Individual,F,CHINESE,CHINA,3829000,0,3829000,1.74
30-Jun-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,LIQIN LING,Individual,F,CHINESE,CHINA,9681000,0,9681000,4.4
30-Jun-2026,AISA,FKS FOOD SEJAHTERA Tbk,PT PANGAN SEJAHTERA INVESTAMA,Corporate,L,,INDONESIA,5459512500,0,5459512500,58.63
30-Jun-2026,AISA,FKS FOOD SEJAHTERA Tbk,PT ASTA ASKARA SENTOSA,Corporate,L,,INDONESIA,1441374472,0,1441374472,15.48
30-Jun-2026,AISA,FKS FOOD SEJAHTERA Tbk,PRIMANEX LIMITED,Venture Capital,F,,BRITISH INDIAN OCEAN TERRITORY,173114557,0,173114557,1.86
30-Jun-2026,AISA,FKS FOOD SEJAHTERA Tbk,TROPHY INVESTORS II Ltd,Corporate,F,,BRITISH INDIAN OCEAN TERRITORY,146693750,0,146693750,1.58
30-Jun-2026,AISA,FKS FOOD SEJAHTERA Tbk,UBS AG SINGAPORE BRANCH,Private Bank,F,,SINGAPORE,158836700,0,158836700,1.71
30-Jun-2026,AISA,FKS FOOD SEJAHTERA Tbk,PT ASURANSI SIMAS JIWA,Insurance,L,,INDONESIA,169350483,0,169350483,1.82
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT TALENTA USAHA PRIMA,Corporate,L,,INDONESIA,81643800,0,81643800,1.27
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT ANTARIKSA BINTANG CEMERLANG,Corporate,L,,INDONESIA,190502200,0,190502200,2.95
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT CIHAMPELAS SEJUTA BUSANA,Corporate,L,,INDONESIA,183698600,0,183698600,2.85
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT BINTANG BERSINAR CEMERLANG,Corporate,L,,INDONESIA,721187100,0,721187100,11.18
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT GEMPAR BUSANA JAYA,Corporate,L,,INDONESIA,81643800,0,81643800,1.27
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT GEMA BUSANA RAYA,Corporate,L,,INDONESIA,394611900,0,394611900,6.12
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT MAJU KARYA SRIKANDI,Corporate,L,,INDONESIA,108858400,0,108858400,1.69
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. KAGUM KARYA UTAMA,Firm,L,,INDONESIA,147670900,0,147670900,2.29
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT KAGUM KARYA MAKMUR,Firm,L,,INDONESIA,117407100,0,117407100,1.82
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. RENALDIJAYA EKAINTI,Firm,L,,INDONESIA,1036756100,0,1036756100,16.08
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT LOKASI EMAS INDONESIA PROPERTI,Firm,L,,INDONESIA,126925800,0,126925800,1.97
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT SUKSES SELALU SEMPURNA,Corporate,L,,INDONESIA,251735200,0,251735200,3.9
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT LENTERA BINTANG TERANG,Corporate,L,,INDONESIA,68036500,0,68036500,1.05
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT JOKOWOW INDONESIA HEBAT,Corporate,L,,INDONESIA,134889200,0,134889200,2.09
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. RELBI JAYA EKA INTI,Firm,L,,INDONESIA,223590000,0,223590000,3.47
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. KAGUM JAYA EKA INTI,Firm,L,,INDONESIA,136701600,0,136701600,2.12
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. RENA JAYA EKA INTI,Firm,L,,INDONESIA,122608200,0,122608200,1.9
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. RESTI JAYA EKA INTI,Firm,L,,INDONESIA,126601700,0,126601700,1.96
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT KAGUM UTAMA JAYA,Firm,L,,INDONESIA,117865600,0,117865600,1.83
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. KOREK API GUNA MANDIRI,Firm,L,,INDONESIA,358795300,0,358795300,5.56
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. KAGUM MAKMUR UTAMA,Firm,L,,INDONESIA,138442000,0,138442000,2.15
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,KINGSWOOD UNION CORPORATION,Private Equity,F,,SINGAPORE,72535000,0,72535000,1.12
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,OIL AND GAS VENTURES LIMITED,Venture Capital,F,,SEYCHELLES,195289000,0,195289000,3.03
30-Jun-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,RENA LUCIANI HUSADA,Individual,L,INDONESIAN,INDONESIA,250000100,0,250000100,3.88
30-Jun-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PT GITANIRWANA MANDRASAKTI,Corporate,L,,INDONESIA,28680660,0,28680660,4.68
30-Jun-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PT PRISMATAMA NUGRAHA,Corporate,L,,INDONESIA,37009340,130019668,167029008,27.28
30-Jun-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,"NAWA PANDUTA, PT",Corporate,L,,,0,92133534,92133534,15.05
30-Jun-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PT. TIARA INTIMAHKOTA,Corporate,L,,INDONESIA,80045006,141027982,221072988,36.11
30-Jun-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,DINA RISJAD,Individual,L,INDONESIAN,INDONESIA,10433162,0,10433162,1.7
30-Jun-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,DEDEY RISJAD,Individual,L,INDONESIAN,INDONESIA,10433162,0,10433162,1.7
30-Jun-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,ZARANI RISJAD,Individual,L,INDONESIAN,INDONESIA,10433162,0,10433162,1.7
30-Jun-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,RIZAL RISJAD,Individual,L,INDONESIAN,INDONESIA,10433162,0,10433162,1.7
30-Jun-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,SELVIYA RISJAD DANANTO,Individual,L,INDONESIAN,INDONESIA,10433162,0,10433162,1.7
30-Jun-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,RADIAN RISJAD,Individual,L,INDONESIAN,INDONESIA,10433161,0,10433161,1.7
30-Jun-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,HENRY LIEM,Individual,L,INDONESIAN,,13177659,0,13177659,2.15
30-Jun-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,Amirsyah Risjad,Individual,L,INDONESIAN,INDONESIA,10503862,0,10503862,1.72
30-Jun-2026,AKRA,AKR CORPORINDO Tbk,PT ARTHAKENCANA RAYATAMA,Firm,L,,INDONESIA,3293622000,9675201600,12968823600,64.61
30-Jun-2026,AKRA,AKR CORPORINDO Tbk,HARYANTO ADIKOESOEMO,Individual,L,INDONESIAN,INDONESIA,224604600,0,224604600,1.12
30-Jun-2026,AKRA,AKR CORPORINDO Tbk,PT. PRUDENTIAL LIFE ASSURANCE,Insurance,L,,INDONESIA,217763600,0,217763600,1.08
30-Jun-2026,AKRA,AKR CORPORINDO Tbk,THE NT TST CO S/A CIM INVESTMENT FUND ICAV,Mutual Funds,F,,IRELAND,424348900,0,424348900,2.11
30-Jun-2026,AKRA,AKR CORPORINDO Tbk,ABERDEEN ASIA FOCUS PLC,Mutual Funds,F,,UNITED KINGDOM,206676800,0,206676800,1.03
30-Jun-2026,AKRA,AKR CORPORINDO Tbk,GOVERNMENT OF NORWAY,Sovereign Wealth Fund,F,,NORWAY,581700100,0,581700100,2.9
30-Jun-2026,AKRA,AKR CORPORINDO Tbk,EMPLOYEES PROVIDENT FUND BOARD,Pension Funds,F,,MALAYSIA,647500000,0,647500000,3.23
30-Jun-2026,AKSI,MINERAL SUMBERDAYA MANDIRI Tbk,PT BATULICIN ENAM SEMBILAN TRANSPORTASI,Corporate,L,,INDONESIA,3299750,662400000,665699750,92.46
30-Jun-2026,ALDO,ALKINDO NARATAMA Tbk,PT.GOLDEN ARISTA INTERNATIONAL,Corporate,L,,INDONESIA,1810571784,0,1810571784,67.04
30-Jun-2026,ALDO,ALKINDO NARATAMA Tbk,PT PABRIK KERTAS NOREE INDONESIA,Corporate,L,,INDONESIA,57587200,0,57587200,2.13
